LG,position_window,n_mean,cm_male_mean,cm_female_mean,cm_sex_averaged_mean,cm_span_male_mean,cm_span_female_mean,cm_mb_male_mean,cm_mb_female_mean,cm_mb_sex_averaged_mean,crossovers_male_mean,crossovers_female_mean,crossovers_sex_averaged_mean,bp_position_mean,windowed_correlation_mean,male_distortion_mean,female_distortion_mean,Mendelian_distortion_mean,n_sum,cm_male_sum,cm_female_sum,cm_sex_averaged_sum,cm_span_male_sum,cm_span_female_sum,cm_mb_male_sum,cm_mb_female_sum,cm_mb_sex_averaged_sum,crossovers_male_sum,crossovers_female_sum,crossovers_sex_averaged_sum,bp_position_sum,windowed_correlation_sum,male_distortion_sum,female_distortion_sum,Mendelian_distortion_sum,window_end
LG1,22,54,48.925,32.796,40.8605,0,0,0,0,0,0,0.0588235294117647,0.0294117647058824,22557732.8518519,NA,3.10543,1.74466,0.445335,2916,2495.175,1672.596,2083.8855,0,0,0,0,0,0,3,1.5,1218117574,0,3.10543,1.74466,0.445335,23000000
LG1,23,86,48.925,33.2637764705882,41.0943882352941,0,1.075,0,0.000001075,0.000000537499999999994,0,0.0235294117647059,0.0117647058823529,23528664.9883721,NA,3.10543,1.216405,0.8910125,7396,4158.625,2827.421,3493.023,0,92.4500000000002,0,0.0000924500000000002,0.0000462249999999995,0,2,1,2023465189,0,6.21086,2.43281,1.782025,24000000
LG1,24,91,48.925,33.871,41.398,0,0,0,0,0,0,0,0,24638437.7142857,NA,NA,NA,NA,8281,3620.45,2506.454,3063.452,0,0,0,0,0,0,0,0,2242097832,0,0,0,0,25000000
LG1,25,51,48.925,33.92140625,41.423203125,0,1.075,0,0.000001075,0.000000537500000000001,0,0.0625,0.03125,25636923.3921569,NA,3.10543,1.216405,1.4566,2601,1565.6,1085.485,1325.5425,0,54.8249999999998,0,0.0000548249999999998,0.0000274125000000001,0,2,1,1307483093,0,6.21086,2.43281,2.9132,26000000
LG1,26,81,48.925,34.9908333333333,41.9579166666667,0,0.538000000000004,0,0.000000538000000000004,0.000000268999999999998,0,0.0138888888888889,0.00694444444444444,26270930.6296296,NA,3.10543,0.774732,1.47371,6561,3522.6,2519.34,3020.97,0,43.5780000000003,0,0.0000435780000000003,0.0000217889999999999,0,1,0.5,2127945381,0,3.10543,0.774732,1.47371,27000000
LG1,27,82,48.925,35.63464,42.27982,0,0.537999999999997,0,0.000000537999999999997,0.000000269000000000005,0,0.0133333333333333,0.00666666666666667,27653984.3658537,NA,3.10543,1.05476,1.06225,6724,3669.375,2672.598,3170.9865,0,44.1159999999997,0,0.0000441159999999997,0.0000220580000000004,0,1,0.5,2267626718,0,3.10543,1.05476,1.06225,28000000
LG1,28,76,48.925,36.2905,42.60775,0,0.536999999999999,0,0.000000536999999999999,0.000000268499999999996,0,0.0142857142857143,0.00714285714285714,28346647.1447368,NA,3.10543,0.774732,1.47371,5776,3424.75,2540.335,2982.5425,0,40.8119999999999,0,0.0000408119999999999,0.0000204059999999997,0,1,0.5,2154345183,0,3.10543,0.774732,1.47371,29000000
LG1,29,80,48.925,36.6915342465753,42.8082671232877,0,1.075,0,0.000001075,0.000000537500000000001,0,0.0273972602739726,0.0136986301369863,29568268.875,NA,3.10543,0.774732,2.1736,6400,3571.525,2678.482,3125.0035,0,86.0000000000002,0,0.0000860000000000002,0.0000430000000000001,0,2,1,2365461510,0,3.10543,0.774732,2.1736,30000000
LG1,30,134,49.104,37.6764736842105,43.3902368421053,0.537000000000006,0.537999999999997,0.000000537000000000006,0.000000537999999999997,0.000000537500000000001,0.0087719298245614,0.0087719298245614,0.0087719298245614,30185168.0597015,0.414039335605413,3.64634,0.914746,2.064385,17956,5597.856,4295.118,4946.487,71.9580000000008,72.0919999999996,0.0000719580000000008,0.0000720919999999996,0.0000720250000000002,1,1,1,4044812520,55.4812709711253,7.29268,1.829492,4.12877,31000000
LG1,31,7,49.462,38.172,43.817,0,0,0,0,0,0,0,0,31723486.4285714,NA,NA,NA,NA,49,296.772,229.032,262.902,0,0,0,0,0,0,0,0,222064405,0,0,0,0,32000000
